Date,Open,High,Low,Close,Volume,Market Cap
"Oct 01, 2017",0.080110,0.081661,0.078861,0.079854,"69,980","11,055,100"
"Sep 30, 2017",0.082603,0.085874,0.078685,0.080066,"239,565","11,395,600"
"Sep 29, 2017",0.086933,0.090204,0.081531,0.081531,"131,791","11,988,800"
"Sep 28, 2017",0.084837,0.091655,0.083973,0.087938,"171,555","11,695,800"
"Sep 27, 2017",0.072667,0.087473,0.072667,0.084834,"502,108","10,015,000"
"Sep 26, 2017",0.072520,0.075313,0.071309,0.073012,"68,029","9,991,240"
"Sep 25, 2017",0.070851,0.075269,0.069178,0.072238,"92,080","9,758,060"
"Sep 24, 2017",0.071050,0.071573,0.067153,0.070515,"89,782","9,781,900"
"Sep 23, 2017",0.067164,0.071589,0.066333,0.071107,"36,788","9,244,010"
"Sep 22, 2017",0.066131,0.069593,0.063749,0.067443,"75,238","9,099,140"
"Sep 21, 2017",0.071000,0.075722,0.064454,0.066107,"91,805","9,766,270"
"Sep 20, 2017",0.070582,0.079353,0.069626,0.071332,"158,149","9,706,050"
"Sep 19, 2017",0.075700,0.077725,0.070283,0.070676,"150,595","10,407,600"
"Sep 18, 2017",0.064586,0.085735,0.064586,0.075516,"365,756","8,877,360"
"Sep 17, 2017",0.068288,0.068288,0.060432,0.065709,"57,193","9,383,330"
"Sep 16, 2017",0.068647,0.071734,0.062081,0.068335,"82,210","9,429,580"
"Sep 15, 2017",0.062163,0.072302,0.048966,0.069399,"165,740","8,536,340"
"Sep 14, 2017",0.076437,0.085863,0.061503,0.061683,"348,579","10,493,100"
"Sep 13, 2017",0.083563,0.091804,0.070652,0.075459,"589,802","11,468,000"
"Sep 12, 2017",0.086088,0.091685,0.082156,0.083836,"234,641","11,811,100"
"Sep 11, 2017",0.091513,0.097918,0.083126,0.086561,"354,882","12,551,900"
"Sep 10, 2017",0.101507,0.107404,0.085524,0.091297,"513,289","13,918,100"
"Sep 09, 2017",0.078786,0.114094,0.078245,0.102748,"2,016,910","10,799,500"
"Sep 08, 2017",0.086507,0.092726,0.075920,0.079095,"249,041","11,854,400"
"Sep 07, 2017",0.083999,0.087678,0.080972,0.087678,"142,195","11,507,600"
"Sep 06, 2017",0.082407,0.095280,0.082407,0.083639,"232,117","11,285,500"
"Sep 05, 2017",0.077940,0.087684,0.067130,0.082294,"194,821","10,670,400"
"Sep 04, 2017",0.090713,0.094062,0.072424,0.077350,"282,207","12,415,600"
"Sep 03, 2017",0.084117,0.096620,0.081269,0.090683,"340,511","11,509,300"
"Sep 02, 2017",0.099857,0.105884,0.082370,0.084378,"245,228","13,658,300"
"Sep 01, 2017",0.105606,0.108531,0.096613,0.099440,"384,717","14,440,400"
"Aug 31, 2017",0.107642,0.111687,0.100768,0.105587,"311,064","14,714,400"
"Aug 30, 2017",0.103431,0.121202,0.103093,0.108250,"613,818","14,134,800"
"Aug 29, 2017",0.118363,0.128114,0.096426,0.102917,"959,087","16,170,200"
"Aug 28, 2017",0.094084,0.127581,0.088379,0.118135,"1,430,730","12,849,100"
"Aug 27, 2017",0.083949,0.100244,0.080282,0.095397,"764,747","11,460,800"
"Aug 26, 2017",0.070509,0.085256,0.066309,0.083081,"369,102","9,623,430"
"Aug 25, 2017",0.076922,0.077558,0.067657,0.071231,"334,634","10,497,100"
"Aug 24, 2017",0.084824,0.097388,0.065508,0.076779,"2,559,000","11,571,800"
"Aug 23, 2017",0.048986,0.101939,0.048556,0.087830,"1,771,490","6,680,880"
"Aug 22, 2017",0.046820,0.049818,0.042661,0.049439,"69,316","6,383,270"
"Aug 21, 2017",0.047731,0.051672,0.046471,0.047301,"109,558","6,505,310"
"Aug 20, 2017",0.046543,0.050086,0.044519,0.048262,"166,638","6,341,530"
"Aug 19, 2017",0.043654,0.056287,0.040379,0.047467,"197,145","5,946,180"
"Aug 18, 2017",0.047633,0.051811,0.043088,0.043588,"55,421","6,486,370"
"Aug 17, 2017",0.049318,0.052009,0.044546,0.047779,"170,360","6,713,840"
"Aug 16, 2017",0.049961,0.056209,0.044889,0.048479,"187,846","6,798,910"
"Aug 15, 2017",0.045593,0.061517,0.042553,0.049906,"201,459","6,202,870"
"Aug 14, 2017",0.052096,0.052603,0.042138,0.046197,"105,028","7,086,860"
"Aug 13, 2017",0.057186,0.058178,0.049419,0.051981,"134,592","7,778,150"
"Aug 12, 2017",0.054683,0.061318,0.053726,0.057258,"117,799","7,436,090"
"Aug 11, 2017",0.057693,0.058008,0.048468,0.054277,"115,286","7,843,860"
"Aug 10, 2017",0.056801,0.059922,0.054458,0.057696,"188,424","7,720,540"
"Aug 09, 2017",0.057881,0.058562,0.055183,0.056865,"48,811","7,864,750"
"Aug 08, 2017",0.057246,0.061016,0.055480,0.058058,"91,704","7,776,740"
"Aug 07, 2017",0.059637,0.061151,0.056558,0.057178,"92,431","8,101,110"
"Aug 06, 2017",0.059723,0.061847,0.058237,0.059792,"55,800","8,111,350"
"Aug 05, 2017",0.054968,0.062838,0.054773,0.060004,"97,564","7,464,160"
"Aug 04, 2017",0.051350,0.060232,0.051325,0.055677,"173,658","6,972,450"
"Aug 03, 2017",0.051229,0.052560,0.047563,0.051363,"57,565","6,955,090"
"Aug 02, 2017",0.051821,0.053535,0.049686,0.051189,"58,679","7,032,860"
"Aug 01, 2017",0.047984,0.053809,0.044760,0.051747,"134,587","6,508,860"
"Jul 31, 2017",0.048444,0.050313,0.045906,0.047961,"34,869","6,570,640"
"Jul 30, 2017",0.051160,0.052194,0.047628,0.048394,"44,514","6,939,040"
"Jul 29, 2017",0.047365,0.051267,0.045102,0.051093,"59,552","6,424,060"
"Jul 28, 2017",0.052183,0.053383,0.045057,0.048252,"82,677","7,077,530"
"Jul 27, 2017",0.051940,0.056101,0.049656,0.052273,"90,671","7,044,330"
"Jul 26, 2017",0.048337,0.054532,0.045419,0.052033,"146,153","6,555,490"
"Jul 25, 2017",0.056542,0.059459,0.044436,0.048245,"118,561","7,668,040"
"Jul 24, 2017",0.059926,0.060878,0.055893,0.056567,"122,880","8,126,830"
"Jul 23, 2017",0.067356,0.069728,0.055710,0.060132,"169,045","9,134,080"
"Jul 22, 2017",0.057588,0.069133,0.057480,0.067586,"180,812","7,807,880"
"Jul 21, 2017",0.058865,0.063104,0.056371,0.058137,"186,466","7,980,330"
"Jul 20, 2017",0.043888,0.071711,0.043409,0.058611,"881,087","5,949,620"
"Jul 19, 2017",0.041555,0.045139,0.038609,0.044001,"133,472","5,633,260"
"Jul 18, 2017",0.037679,0.043133,0.036131,0.041324,"60,142","5,106,940"
"Jul 17, 2017",0.029889,0.037461,0.029889,0.037461,"79,707","4,051,160"
"Jul 16, 2017",0.033657,0.035036,0.028054,0.029239,"60,866","4,561,840"
"Jul 15, 2017",0.038437,0.038507,0.033543,0.033543,"39,390","5,209,700"
"Jul 14, 2017",0.042681,0.045277,0.035655,0.038282,"146,414","5,784,880"
"Jul 13, 2017",0.045863,0.050448,0.041404,0.042170,"157,470","6,215,510"
"Jul 12, 2017",0.038081,0.047138,0.034807,0.045718,"167,401","5,160,070"
"Jul 11, 2017",0.044522,0.047117,0.034996,0.038126,"220,622","6,031,490"
"Jul 10, 2017",0.062814,0.064624,0.041693,0.044599,"193,369","8,507,590"
"Jul 09, 2017",0.066146,0.079972,0.062688,0.062688,"343,519","8,956,470"
"Jul 08, 2017",0.061540,0.069358,0.052534,0.066077,"202,811","8,330,700"
"Jul 07, 2017",0.074646,0.075828,0.060227,0.062149,"234,988","10,102,500"
"Jul 06, 2017",0.075602,0.097716,0.072698,0.074779,"410,839","10,228,500"
"Jul 05, 2017",0.078882,0.079219,0.073621,0.075713,"110,423","10,669,300"
"Jul 04, 2017",0.079123,0.084838,0.077599,0.078881,"207,389","10,698,800"
"Jul 03, 2017",0.071689,0.082688,0.070245,0.079303,"335,383","9,690,900"
"Jul 02, 2017",0.071729,0.073840,0.066388,0.072298,"126,850","9,693,900"
"Jul 01, 2017",0.083347,0.096273,0.069947,0.071674,"439,651","11,260,900"
"Jun 30, 2017",0.086874,0.091003,0.082186,0.083461,"317,346","11,733,800"
"Jun 29, 2017",0.088740,0.098609,0.080931,0.089202,"461,165","11,981,300"
"Jun 28, 2017",0.082372,0.091395,0.080087,0.088263,"216,050","11,118,000"
"Jun 27, 2017",0.091036,0.091978,0.069961,0.082498,"343,777","12,283,200"
"Jun 26, 2017",0.095982,0.100512,0.071724,0.091036,"381,729","12,947,400"
"Jun 25, 2017",0.105762,0.110304,0.093177,0.095881,"338,158","14,262,500"
"Jun 24, 2017",0.110392,0.117504,0.104121,0.105468,"338,152","14,881,700"
"Jun 23, 2017",0.100993,0.117335,0.099089,0.110404,"422,457","13,609,800"
"Jun 22, 2017",0.104382,0.105118,0.097865,0.100995,"415,183","14,062,300"
"Jun 21, 2017",0.093984,0.109143,0.090132,0.107094,"569,943","12,656,600"
"Jun 20, 2017",0.102643,0.103012,0.094073,0.094118,"430,360","13,817,200"
"Jun 19, 2017",0.099669,0.107263,0.095005,0.103731,"730,751","13,411,500"
"Jun 18, 2017",0.106271,0.107482,0.098001,0.099722,"754,255","14,294,600"
"Jun 17, 2017",0.114659,0.135522,0.104441,0.106375,"2,861,640","15,417,500"
"Jun 16, 2017",0.079203,0.134123,0.077943,0.113681,"5,450,920","10,645,900"
"Jun 15, 2017",0.079454,0.083722,0.069464,0.079377,"190,948","10,676,700"
"Jun 14, 2017",0.095634,0.098526,0.078881,0.079696,"236,905","12,847,000"
